,item,condition,disambPosition,Sentence,Ans,Ans.1,Type,disambPosition_0idx,token,word,word_pos,logfreq,logfreq_s,length,length_s
0,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,In,In,0,14.60582619067051,1.0682671052951365,2,-1.2092210391383649
1,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
2,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,"lobby.,","lobby,",2,7.696667081526462,-1.0258917590330627,6,0.2866949754802561
3,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,Clyde,Clyde,3,5.831882477283517,-1.5911060126561656,5,-0.087284028174399
4,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,bumped,bumped,4,6.113682179832232,-1.5056928189903231,6,0.2866949754802561
5,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,into,into,5,12.285669099801316,0.3650299295804806,4,-0.4612630318290542
6,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,the,the,6,15.687451186819413,1.396106504820095,3,-0.8352420354837095
7,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,chau.ffe.ur,chauffeur,7,5.087596335232384,-1.816698360053433,9,1.4086319864442216
8,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,of,of,8,14.959542893887448,1.1754782662774268,2,-1.2092210391383649
9,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
10,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,CEO,CEO,10,8.955835144218959,-0.6442392426397711,3,-0.8352420354837095
11,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,who,who,11,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
12,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,is,is,12,13.90494258614572,0.8558300214052387,2,-1.2092210391383649
13,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,reckless,reckless,13,6.476972362889683,-1.3955799463302772,8,1.0346529827895663
14,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,and,and,14,14.964528530543614,1.1769894075079148,3,-0.8352420354837095
15,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,very,very,15,11.333140687828244,0.0763195690363313,4,-0.4612630318290542
16,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,unpopular,unpopular,16,6.442540166468199,-1.406016308876757,9,1.4086319864442216
17,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,with,with,17,13.689502791749778,0.7905304461550167,4,-0.4612630318290542
18,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,the,the,18,15.687451186819413,1.396106504820095,3,-0.8352420354837095
19,49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,company..,company.,19,11.004164375253117,-0.0233928055450316,8,1.0346529827895663
20,49,AttachHigh,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,In,In,0,14.60582619067051,1.0682671052951365,2,-1.2092210391383649
21,49,AttachHigh,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",1.0,1.0,Non-ambig,13,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
